Question,article_id,title,subtitle,url,published_time,top_emotion_en,combined_prob_Joy,combined_prob_Trust,combined_prob_Anticipation,combined_prob_Surprise,combined_prob_Anger,combined_prob_Contempt,combined_prob_Sadness,combined_prob_Fear,label_type,label_class
1,9518442,VM Manager: Se ekspertens hold til runde 1,Ekstra Bladets managerekspert og vinder af EM Manager deler sine anbefalinger til første runde i VM-managerspillet,https://ekstrabladet.dk/sport/fodbold/landsholdsfodbold/VM2022/vm-manager-se-ekspertens-hold-til-runde-1/9518442,18/11/2022 14:53,Anticipation,0.000316676,0.000368643,0.998296678,0.00011659,0.000178557,0.000364906,0.000200629,0.000157253,emotion,Anticipation
2,4229638,Skudt og knivstukket: Vidste ikke de var i unåde,"HA-EXIT: Smidt ud med tæsk, knivstik og skud",https://ekstrabladet.dk/krimi/article4229638.ece,23/09/2012 9:07,Contempt,0.000112641,0.000543254,0.000372813,0.000602133,0.000600574,0.996558011,0.000403495,0.000807051,emotion,Contempt
3,9525064,VM Manager: Se ekspertens hold til runde 2,"Fredag klokken 11 starter den nye runde i VM-managerspillet, og managereksperten har flere esser i ærmet til dig",https://ekstrabladet.dk/sport/fodbold/landsholdsfodbold/VM2022/vm-manager-se-ekspertens-hold-til-runde-2/9525064,24/11/2022 18:05,Anticipation,0.000437232,0.000258693,0.99828136,0.000121665,0.0001577,0.000360911,0.00017963,0.000202838,emotion,Anticipation
4,9802568,Lang næse: Nu er han vred,"Vindmølleopstillerne raser over regeringen, der vil give afslag til 24 havvindmølleparker",https://ekstrabladet.dk/nationen/lang-naese-nu-er-han-vred/9802568,07/06/2023 13:29,Anger,0.001394809,8.21E-05,0.000209855,0.000389363,0.995243967,0.001736489,0.000847296,9.61E-05,emotion,Anger
5,9376482,Sådan får du mere motion i hverdagen,"Lidt har også ret, og alt tæller. Især når man har travlt, har et stillesiddende arbejdsliv eller har svært ved at komme i gang med træningen for alvor. Men med disse hverdagsfif kan du komme langt - måske endda næsten uden at tænke over det",https://ekstrabladet.dk/forbrug/sundhed/saadan-faar-du-mere-motion-i-hverdagen/9376482,24/08/2022 5:04,Trust,0.001215419,0.994273365,0.002395489,0.000445956,9.43E-05,0.000830141,0.000258959,0.000486403,emotion,Trust
6,9750007,Samsø Rederi M udskifter sur smiley med glad,Spisestedet Samsø Rederi M/S Samsø Catering Prinsesse Isabella har tidligere inkasseret sure smileyer. Men nu har spisestedet fået en glad smiley,https://ekstrabladet.dk/auto/magna/smileys/samsoe-rederi-m-udskifter-sur-smiley-med-glad/9750007,04/05/2023 15:01,Joy,0.997209013,0.000407429,0.001058579,0.000524813,0.000178433,0.000142733,0.000307917,0.000171031,emotion,Joy
7,9332024,Familiecoachen: Fem råd til et bedre familieliv,"Ekstra Bladets familiecoach, der selv er mor til to piger, giver dig her fem gode råd til, hvordan I får et bedre familieliv - nummer fire vil overraske dig",https://ekstrabladet.dk/forbrug/goderaadom/familiecoachen-fem-raad-til-et-bedre-familieliv/9332024,09/07/2022 9:31,Anticipation,0.000329281,0.000370548,0.998182654,0.000161448,0.000142898,0.000434638,0.000232665,0.000145912,emotion,Anticipation
8,7999947,Har brugt 500.000 på operationer: Vil ligne et snapchatfilter,#NAME?,https://ekstrabladet.dk/nyheder/samfund/har-brugt-500.000-paa-operationer-vil-ligne-et-snapchatfilter/7999947,16/02/2020 20:20,Fear,0.000327738,0.000257078,0.000312798,0.00044978,0.000118964,9.70E-05,0.000611395,0.997825265,emotion,Fear
9,9612411,#NAME?,"Det netop overståede VM i håndbold er blevet kritiseret for at have været dårligt planlagt, og den kritik er spillerne enige i",https://ekstrabladet.dk/sport/haandbold/article9612411.ece,30/01/2023 18:48,Trust,0.000458222,0.994668543,0.001686276,0.000237237,7.31E-05,0.001558151,0.000475596,0.000842904,emotion,Trust
10,4087077,Så smukt bor familien Matas,"I det sø-rige Matador-land i Holte nord for København findes der folk, der har slidt et helt liv for til sidst at score kassen. Her er et godt eksempel",https://ekstrabladet.dk/forbrug/dinepenge/dinbolig/article4087077.ece,31/07/2011 11:00,Trust,0.000761083,0.990719914,0.004970747,0.000542033,0.000230264,0.002297726,0.000265435,0.00021273,emotion,Trust
11,9549390,650.000 ramt: Skjult dræber,"Skræmmende mørketal: Hver tiende dansker ved ikke, de er ramt af knoglesygdom",https://ekstrabladet.dk/forbrug/sundhed/650.000-ramt-skjult-draeber/9549390,04/01/2023 15:38,Fear,0.00028894,0.000276953,0.000420286,0.000343524,8.52E-05,0.000247393,0.000398786,0.997938931,emotion,Fear
12,9681054,Flere 3d-printede våben beslaglægges i Sverige,"De svenske myndigheder frygter, at 3d-printede våben kan blive brugt til terror",https://ekstrabladet.dk/nyheder/krigogkatastrofer/flere-3d-printede-vaaben-beslaglaegges-i-sverige/9681054,18/03/2023 10:38,Fear,0.000204444,0.000296447,0.00044105,0.00028508,7.84E-05,0.000472617,0.00026001,0.997961998,emotion,Fear
13,9758291,Fordømmer milliardsalg af nazi-juveler,Juveler til en værdi for over en milliard kroner er røget under hammeren på et engelsk auktionshus. Det behager bestemt ikke flere jødiske grupper,https://ekstrabladet.dk/nyheder/samfund/fordoemmer-milliardsalg-af-nazi-juveler/9758291,11/05/2023 20:16,Contempt,0.000303986,0.000361569,0.000945249,0.000446036,0.000561023,0.996809065,0.000407025,0.000166073,emotion,Contempt
14,9726992,Trist Kasper Schmeichel: - Det er en skam,"Kasper Schmeichel er trist over Brendan Rodgers' fyring i Leicester, men den danske landsholdsmålmand er overbevist om, at hans gamle klub nok skal overleve i Premier League, selvom man lige nu har kurs mod nedrykning",https://ekstrabladet.dk/sport/fodbold/udenlandsk_fodbold/engelsk_fodbold/PremierLeague/trist-kasper-schmeichel-det-er-en-skam/9726992,20/04/2023 18:51,Sadness,0.000362447,0.000149754,0.000581921,0.000235972,0.000221137,0.000177625,0.997740507,0.000530571,emotion,Sadness
15,7377747,Matador var næsten fejlfri - her er bommerterne,Lise Nørgaard og Erik Balling har været næsten fejlfri i deres fremstilling af 27 timers liv i Korsbæk – men kun næsten,https://ekstrabladet.dk/underholdning/matador-var-naesten-fejlfri-her-er-bommerterne/7377747,10/11/2018 20:59,Trust,0.001729372,0.994155645,0.000394051,0.001067428,0.000441513,0.001292057,0.00035232,0.000567553,emotion,Trust
16,9785995,Tre sure smileyer på stribe til The Burger Bob i Aarhus V,Spisestedet The Burger Bob i Aarhus V har indkasseret sin tredje sure smiley,https://ekstrabladet.dk/auto/magna/smileys/tre-sure-smileyer-paa-stribe-til-the-burger-bob-i-aarhus-v/9785995,29/05/2023 3:02,Joy,0.996929228,0.000234279,0.000957864,0.000914885,0.000208109,0.000121378,0.000490653,0.000143627,emotion,Joy
17,9329812,Fatter det ikke,"Hvorfor skal popstjerner fortælle, hvad de får at spise til morgenmad, lyder det undrende fra Charlie XCX",https://ekstrabladet.dk/underholdning/udlandkendte/fatter-det-ikke/9329812,06/07/2022 9:42,Surprise,0.000986114,0.000142272,0.000406588,0.99623245,0.00014352,0.001042194,0.00025013,0.000796696,emotion,Surprise
18,9737812,Sheffield United klar til Premier League,Efter to sæsoner i den næstbedste engelske række er Sheffield United i næste sæson tilbage i Premier League,https://ekstrabladet.dk/sport/fodbold/udenlandsk_fodbold/engelsk_fodbold/PremierLeague/sheffield-united-klar-til-premier-league/9737812,26/04/2023 21:47,Anticipation,0.00030299,0.000193038,0.998256266,0.00027052,0.000195264,0.000398833,0.000184374,0.00019873,emotion,Anticipation
19,9714203,Skræmmende fund i vagina,"En kvinde opsøgte sundhedshjælp, efter at hun oplevede irritation i sin vagina",https://ekstrabladet.dk/nyheder/samfund/skraemmende-fund-i-vagina/9714203,11/04/2023 7:14,Fear,0.00034206,0.000256885,0.000213505,0.000434053,8.57E-05,0.000150616,0.000485665,0.998031557,emotion,Fear
20,7556115,Sosu-elev efter to måneder på psyk: Fantastisk,"Oliver er vældig glad over den forskel han kan gøre som sosu på en psykiatrisk afdeling. Og han er ærgerlig over den måde, mange mennesker snakker om psykiatrien på.",https://ekstrabladet.dk/nationen/sosu-elev-efter-to-maaneder-paa-psyk-fantastisk/7556115,15/03/2019 12:50,Sadness,0.000376479,0.000189554,0.000324261,0.000236451,0.000572964,0.000330969,0.997818112,0.000151312,emotion,Sadness
21,9733333,Irriteret på Holger: Der er altid drama med ham,"Botic van de Zandschulps træner insinuerer, at Holger Rune ikke var så fysisk mærket, som han gav udtryk for",https://ekstrabladet.dk/sport/anden_sport/tennis/irriteret-paa-holger-der-er-altid-drama-med-ham/9733333,23/04/2023 20:30,Anger,0.000548077,0.00011722,0.000205043,0.001658593,0.994972587,0.001200461,0.001222374,7.58E-05,emotion,Anger
